Experiment,T,t (min),mu0,mu1,mu2,mu3,C
0,39.86,5.000,1478.01,22995.82,1800863.24,248516167.94,0.15862
0,39.87,6.250,2476.87,29829.74,1845571.77,277226550.11,0.15852
0,39.97,7.517,3212.47,43794.12,2174393.98,309919651.30,0.15921
0,40.05,8.767,4307.27,59977.04,2600815.53,320989566.22,0.15671
0,40.04,10.033,6169.28,80927.94,3034353.12,379559438.52,0.15974
0,40.03,11.283,6668.31,101419.13,4376639.22,438890660.77,0.15800
0,39.79,12.550,9700.00,146564.75,4849748.96,500647134.79,0.15701
0,39.41,13.800,10853.53,181455.80,6898135.94,565313681.70,0.15597
0,39.00,15.067,15591.29,236505.01,7899952.02,651689618.47,0.15720
0,38.64,16.317,19349.60,305700.18,11074251.04,781969130.75,0.15832
0,38.42,17.583,24159.46,411456.36,14864510.15,973807756.03,0.15618
0,38.25,18.833,27349.90,541285.98,18149353.39,1207587421.20,0.15550
0,38.17,20.100,35712.60,667783.91,23417389.14,1413748347.99,0.15395
0,38.13,21.350,41778.52,803665.95,25114332.49,1705027845.97,0.15389
0,38.09,22.617,48204.87,862081.48,29579047.54,1922269062.56,0.15456
0,37.95,23.883,57649.07,1098477.80,32651841.64,2236002822.59,0.15064
0,37.63,25.133,67868.92,1140779.43,40220283.46,2380381371.47,0.15206
0,37.21,26.400,83413.44,1362519.40,48922921.58,2649878289.67,0.15113
0,36.81,27.650,96282.45,1318462.15,50589560.89,3077741010.64,0.14943
0,36.54,28.917,110145.68,1640148.06,58249288.45,3373502056.75,0.14773
0,36.32,30.183,136926.25,1903106.68,56327158.86,3565954286.86,0.14756
0,36.21,31.433,131775.99,1874110.46,63334061.63,3718051074.63,0.14674
0,36.13,32.700,160564.27,2122159.07,64647535.89,4135988696.55,0.14746
0,35.87,33.967,158671.40,2264750.59,74251836.15,4344697117.64,0.14532
0,35.44,35.217,190421.96,2288841.46,84513212.50,4330442294.24,0.14537
0,35.02,36.483,176802.75,2568126.22,82549401.79,4773161219.68,0.14321
0,34.69,37.733,222288.48,2456796.52,79934947.39,5115295635.57,0.14464
0,34.42,39.000,249983.76,3037475.93,87545340.76,5210330342.66,0.14393
0,34.27,40.267,230409.51,3046856.38,102825134.69,5014694479.04,0.14186
0,34.18,41.533,231503.77,3027400.72,94826359.71,5723425809.93,0.14129
0,34.10,42.783,284545.02,3641144.48,101837925.51,5317732505.68,0.14150
0,34.13,44.050,312428.07,3586690.46,100291016.09,5723017275.66,0.14178
0,33.98,45.317,326045.72,3509807.81,102509771.39,5978821890.78,0.14141
0,33.65,46.583,293608.39,3428698.59,104828871.41,6095978085.66,0.13893
0,33.23,47.833,338557.67,3536496.91,103024408.04,6229467463.82,0.14059
0,32.85,49.100,370563.35,4239706.35,119840038.05,6383744110.65,0.13732
0,32.55,50.367,386991.98,4201132.11,118677620.12,6068120509.55,0.13748
0,32.32,51.633,366767.24,4149929.10,122104971.39,6381277112.61,0.13834
0,32.18,52.900,419495.32,3861507.50,120322306.08,6357223767.39,0.13716
0,32.11,54.167,434788.92,4416788.78,128219390.52,6992232345.16,0.13809
0,32.09,55.433,428660.89,4300279.94,141128053.56,6931723286.52,0.13704
0,32.07,56.683,420157.34,5084432.17,132716304.50,7198603419.30,0.13605
0,32.02,57.950,388350.08,4942144.27,145284849.66,7281303286.71,0.13510
0,31.98,59.233,486687.58,5026309.68,130717596.25,6996904995.47,0.13621
0,31.75,60.517,430796.91,4866303.42,132326548.00,7069137819.50,0.13529
0,31.35,61.783,465492.10,4462109.15,134302195.43,7525708523.92,0.13566
0,30.94,63.067,526806.62,4824463.67,148217575.22,7270133625.98,0.13460
0,30.59,64.367,444089.13,4695037.77,157252840.96,7590650258.13,0.13282
0,30.38,65.650,507997.22,5093578.05,154712101.52,8112658827.87,0.13504
0,30.20,66.950,522460.10,5502659.01,145737212.65,7660571635.56,0.13260
0,30.14,68.233,482458.35,5628463.46,160701281.99,8171921985.35,0.13288
0,30.07,69.533,549057.10,6028116.38,156936627.83,8075182705.22,0.13121
1,39.99,5.000,1534.31,20715.19,1676956.24,223640524.96,0.15792
1,40.00,6.250,2307.34,31871.31,2076895.66,256357735.70,0.15830
1,40.01,7.517,2965.28,40983.25,2256301.24,309221028.29,0.15788
1,40.00,8.767,3977.56,58745.34,2806841.44,330403779.81,0.15871
1,40.00,10.033,5741.27,76570.77,3162906.67,391695550.98,0.15762
1,40.01,11.283,6896.56,105629.53,4057220.15,433252835.10,0.15777
1,40.01,12.550,9058.32,131968.66,5237086.11,482239088.69,0.15852
1,40.01,13.800,11141.56,181946.18,6478157.63,537899170.31,0.15703
1,39.99,15.067,13624.00,237138.79,7689482.94,650126663.58,0.15707
1,40.01,16.317,18146.91,259523.54,9759398.55,764749542.98,0.15739
1,40.01,17.583,20883.78,328493.82,11348171.50,836084052.17,0.15671
1,40.00,18.833,23755.46,392350.78,13512252.33,977694158.59,0.15632
1,40.00,20.100,29636.75,481687.07,14631583.57,1083151763.22,0.15620
1,40.00,21.350,36502.44,538243.25,17679878.78,1248613871.52,0.15513
1,40.00,22.617,34861.71,568846.12,20216980.85,1359271944.83,0.15528
1,40.01,23.883,49238.41,700951.88,23738589.03,1501374023.61,0.15512
1,40.00,25.133,53668.11,815157.21,27426297.13,1639998982.22,0.15404
1,39.99,26.400,60778.82,902750.98,28992506.22,1821312619.92,0.15420
1,40.00,27.650,68047.59,911919.44,31486208.04,1953715380.32,0.15315
1,39.99,28.917,68380.00,1113368.74,35243291.31,2029420075.02,0.15335
1,39.99,30.183,75278.14,1064588.21,37598795.65,2091200404.87,0.15236
1,39.99,31.433,95062.43,1229685.82,39774492.77,2306620365.48,0.15201
1,40.01,32.700,98309.18,1202394.86,41803268.53,2348029672.48,0.15138
1,40.01,33.967,95693.60,1318395.70,38626188.03,2437005517.27,0.15139
1,40.00,35.217,102247.59,1324612.80,45362686.81,2580504272.66,0.15172
1,40.01,36.483,125912.77,1437832.03,46944255.19,2591991342.54,0.15057
1,40.01,37.733,127090.59,1432033.82,48372430.82,2525728583.24,0.15065
1,39.99,39.000,127538.76,1543401.28,45882666.54,2856644357.67,0.14984
1,39.99,40.267,133874.61,1528070.77,50941555.76,2708117805.93,0.15025
1,40.00,41.533,154014.37,1505628.19,48067738.45,2900108538.73,0.14978
1,40.01,42.783,131274.18,1543448.95,49006026.98,2731882519.46,0.14993
1,40.01,44.050,159150.73,1647746.26,47792390.72,2918148906.83,0.14949
1,40.00,45.317,149235.89,1612317.99,48550804.73,3030811048.46,0.14995
1,40.01,46.583,154323.40,1786425.11,49253875.31,2843010623.27,0.14924
1,39.99,47.833,159207.28,1672597.16,52073095.36,2949845151.59,0.15003
1,40.01,49.100,172627.90,1848006.23,59296813.40,3056112721.85,0.14992
1,40.00,50.367,159752.02,1800977.55,57736843.73,2930085380.81,0.14983
1,40.00,51.633,200444.22,1750136.60,51597079.08,3032589275.54,0.14885
1,40.01,52.900,168104.97,1849861.50,56608676.58,3134346851.82,0.14877
1,40.00,54.167,181637.62,1794052.27,57095808.89,2998716334.95,0.14929
1,40.01,55.433,195481.76,1971904.12,55248911.71,3018354743.16,0.14892
1,40.00,56.683,209579.76,1992439.88,60293138.65,3276288407.59,0.14856
1,40.00,57.950,193460.75,2012058.61,53704431.28,3134087292.62,0.14880
1,40.01,59.233,197228.36,2112016.15,56402653.35,3150699552.46,0.14815
1,40.01,60.517,211456.00,2048469.52,61470878.33,3166192434.88,0.14869
1,40.00,61.783,204403.71,2230382.39,59437621.33,3343758144.96,0.14834
1,40.00,63.067,218824.46,1998094.38,57365261.86,3440226218.03,0.14830
1,39.99,64.367,244679.91,1929187.54,57656711.13,3372186681.93,0.14855
1,40.00,65.650,214606.28,2111540.58,57927145.74,3302465719.92,0.14821
2,39.98,5.000,1559.23,21237.53,1847000.97,234067271.73,0.16049
2,39.06,6.250,2346.79,33471.44,2078155.79,254079095.74,0.15959
2,38.38,7.517,3447.18,48673.36,2588539.88,305732861.80,0.16023
2,37.90,8.767,5077.19,74500.25,3283807.47,357972331.74,0.15765
2,37.55,10.033,6672.19,117973.85,4732812.77,476396038.94,0.15973
2,37.30,11.283,8638.24,172148.42,6668741.09,543892003.69,0.15776
2,37.12,12.550,12424.81,210410.94,8705114.26,736939195.97,0.15721
2,36.99,13.800,16052.58,322938.19,13053264.81,926838642.38,0.15650
2,36.90,15.067,22967.91,392056.65,17648480.40,1251387161.66,0.15716
2,36.84,16.317,33799.09,568703.20,20333861.23,1571751025.65,0.15301
2,36.79,17.583,38434.87,794807.44,26755259.64,1929210411.01,0.15263
2,36.00,18.833,46924.66,902547.99,34376405.07,2214011016.88,0.15363
2,35.04,20.100,66572.30,1242633.01,42378349.35,2810023276.71,0.15054
2,34.56,21.350,83319.61,1247848.10,53312595.44,3255886143.03,0.14883
2,34.21,22.617,102104.01,1570246.03,60262411.88,3863627659.71,0.14786
2,33.96,23.883,115800.02,2005484.88,68689878.66,4243430806.30,0.14700
2,33.78,25.133,141658.40,2251614.23,79166116.47,4888627051.66,0.14345
2,33.65,26.400,169380.20,2474717.73,76014790.10,5012124054.03,0.14370
2,33.56,27.650,188946.72,2413916.33,95110261.93,5439243011.56,0.14271
2,33.50,28.917,187931.97,2702848.77,92690912.36,5831905984.57,0.14047
2,33.45,30.183,193218.25,2702384.76,92752123.00,5618173821.34,0.14048
2,32.39,31.433,232235.00,3005811.26,104993543.14,6139506413.23,0.14112
2,31.71,32.700,252071.32,3378392.51,106552411.28,6279646025.17,0.14015
2,31.23,33.967,245250.33,3443507.58,116954124.90,6910255068.34,0.13776
2,30.88,35.217,307093.69,3840944.17,127444461.79,7032158962.59,0.13751
2,30.63,36.483,343307.56,3667841.34,128118414.34,6762996016.14,0.13528
2,30.45,37.733,314069.69,3839619.74,127759257.26,7344202383.42,0.13521
2,30.32,39.000,313554.00,3995573.21,131856088.65,7355901324.05,0.13319
2,30.23,40.267,365133.20,4350385.68,135417860.21,7524442600.67,0.13463
2,30.17,41.533,418823.93,4028027.32,149540239.97,8257428244.38,0.13348
2,30.12,42.783,375342.97,4352588.45,141007475.87,7786509369.45,0.13307
2,29.20,44.050,370093.99,5192748.29,155842477.51,8346536022.95,0.13255
2,28.38,45.317,430108.20,4677424.10,155038539.59,7950245918.63,0.13048
2,27.90,46.583,472635.29,5157534.18,160759077.19,8626064201.48,0.13225
2,27.55,47.833,469746.63,5655595.74,166353557.23,8653492651.41,0.13011
2,27.30,49.100,537864.81,5602308.43,165032748.44,9336395307.54,0.12869
2,27.12,50.367,507238.57,6085891.09,183145322.26,9316002256.52,0.12865
2,26.99,51.633,524420.72,5965814.46,173547729.79,9733221444.98,0.12741
2,26.90,52.900,567483.67,6418121.19,184038511.64,9408372597.65,0.12753
2,26.84,54.167,583152.50,6550447.44,165484515.60,9535844944.19,0.12773
2,26.79,55.433,569383.82,6349151.82,175117262.18,9893834796.56,0.12672
2,25.72,56.683,585422.77,6831602.34,185997074.05,10053272619.71,0.12682
2,25.04,57.950,604403.03,6734802.66,183564592.67,9769746511.25,0.12479
2,24.56,59.233,624160.41,6634706.47,196925340.80,10008029745.65,0.12396
2,24.21,60.517,643559.46,7587298.15,210591933.23,10238749406.78,0.12439
2,23.96,61.783,628913.13,7448769.12,199315866.95,11550098097.27,0.12303
2,23.78,63.067,645755.26,7651267.03,203792952.73,10641312019.87,0.12297
2,23.65,64.367,661709.10,7047803.09,216414046.53,11094395477.27,0.12177
2,23.56,65.650,711959.54,7584302.69,219915502.72,11528797896.20,0.12006
2,23.50,66.950,762775.74,8115530.28,214020400.17,11074922001.24,0.12205
2,23.45,68.233,702776.60,7815828.14,243522378.60,11472034263.74,0.12109
2,22.39,69.533,679955.04,8390953.31,247542400.32,12222290752.93,0.11996
2,21.71,70.833,735199.56,7764316.11,253345167.66,12758892838.75,0.12039
2,21.23,72.133,832609.65,9332741.69,240552266.60,12402650032.69,0.11837
2,20.88,73.433,811641.10,10055846.00,246371389.75,12014048211.76,0.11697
2,20.63,74.733,829553.00,8437833.59,251759244.59,12871107866.09,0.11622
2,20.45,76.033,761776.28,9103281.96,256540889.15,12743124608.90,0.11673
2,20.32,77.333,948408.36,10251580.63,281581587.27,13243232225.24,0.11557
2,20.23,78.633,876846.47,9919097.76,253746820.28,13391903148.94,0.11508
2,20.17,79.933,979472.62,9549039.67,256682798.61,14193995273.52,0.11581
2,20.12,81.233,993279.21,11180073.60,291557293.99,13965080126.38,0.11374
3,40.00,5.000,1468.51,22775.44,1621714.42,239513860.62,0.15783
3,39.05,6.250,2240.61,30298.05,1898332.28,269268441.72,0.15694
3,38.38,7.517,3823.41,53029.56,2604281.87,320493508.36,0.15838
3,37.90,8.767,4373.01,76979.86,3125551.60,379241975.90,0.15977
3,37.56,10.033,6989.57,115546.55,4545638.45,475437301.92,0.15713
3,37.32,11.283,9434.99,143808.73,6092760.02,575463002.66,0.15756
3,37.12,12.550,12147.04,226736.05,8178306.95,690263556.83,0.15705
3,36.98,13.800,16355.52,327565.25,13111953.43,938760567.56,0.15482
3,36.91,15.067,20939.72,377459.39,15325649.95,1130675149.27,0.15632
3,36.85,16.317,27837.03,600422.17,22082639.10,1461189232.96,0.15378
3,36.79,17.583,38443.83,658216.80,23916264.85,1740172300.77,0.15345
3,36.01,18.833,49448.04,907885.93,36129143.79,2167176892.78,0.15297
3,35.05,20.100,60001.47,1029962.46,42693559.58,2468642291.20,0.15143
3,34.55,21.350,79225.91,1468194.80,49430375.49,3134301071.70,0.14825
3,34.19,22.617,92548.41,1677122.79,58411047.01,3757211813.58,0.14728
3,33.96,23.883,128403.46,1944250.33,73541278.28,4124315515.58,0.14715
3,33.78,25.133,122491.15,2292328.69,74304622.61,4266902572.26,0.14432
3,33.64,26.400,155469.45,2411029.96,80875111.52,5194747681.96,0.14311
3,33.57,27.650,191279.61,2480450.70,90698017.36,5043926883.63,0.14141
3,33.52,28.917,210726.56,2377630.76,86485184.92,5450400418.27,0.14128
3,33.47,30.183,208196.00,2781422.05,94936898.27,5488280272.34,0.14059
3,32.39,31.433,225683.44,2649858.68,109291155.01,5537372583.85,0.13842
3,31.72,32.700,245340.61,3155350.09,94481817.70,5997896294.07,0.13954
3,31.24,33.967,292158.93,3209126.32,116382685.07,6483747876.50,0.13852
3,30.89,35.217,271139.42,3592606.67,110604202.74,7172318657.76,0.13689
3,30.64,36.483,289674.27,3417295.97,127770253.32,6818717203.84,0.13601
3,30.46,37.733,307187.49,3780836.87,132655208.57,7477900510.08,0.13457
3,30.32,39.000,358099.41,4351129.08,136986402.26,7462640874.21,0.13525
3,30.24,40.267,357654.63,4715591.29,127309523.53,7635431952.68,0.13266
3,30.17,41.533,373146.65,4630837.34,137029594.27,8015011170.96,0.13418
4,39.99,5.000,1450.08,21867.07,1618205.53,227628858.60,0.15887
4,38.98,6.250,2368.52,35507.65,1820978.06,254762839.35,0.15797
4,38.11,7.517,3136.72,51348.54,2388029.54,301900705.75,0.15782
4,37.38,8.767,5121.75,67809.98,3341726.13,360218188.94,0.15839
4,36.75,10.033,6843.18,110132.25,4773377.19,481503777.89,0.15965
4,36.23,11.283,9557.20,165553.00,7002611.65,588121106.49,0.15601
4,35.78,12.550,12250.46,270731.02,10380299.24,797850639.35,0.15530
4,35.41,13.800,18363.11,352518.14,14466389.10,1144566359.50,0.15510
4,35.09,15.067,28923.63,470060.89,23014487.95,1438865559.81,0.15378
4,34.82,16.317,36985.81,708134.76,26495553.03,1891293719.16,0.15450
4,34.59,17.583,50849.15,881285.27,37303035.89,2652949240.19,0.15194
4,34.40,18.833,60432.01,1223360.71,44162411.50,3066172654.82,0.14864
4,34.23,20.100,85545.19,1411233.95,54563424.26,3496791496.05,0.14914
4,34.09,21.350,99476.81,1646487.16,59868459.24,3848006554.09,0.14612
4,33.98,22.617,118168.24,1681146.03,69378387.78,4459884621.46,0.14403
4,33.88,23.883,143746.77,2068531.35,78478461.08,4688005006.07,0.14431
4,33.79,25.133,154096.78,2245853.09,74172994.67,5226413528.76,0.14405
4,33.72,26.400,180071.68,2405697.31,88511559.45,5080282948.07,0.14109
4,33.66,27.650,216462.18,2290779.20,85338395.41,5416008108.83,0.14111
4,33.61,28.917,223404.95,2670209.91,95863156.28,5732274366.50,0.14193
4,33.57,30.183,250605.38,2641624.37,98794591.10,5882987127.07,0.13932
4,33.15,31.433,254772.29,3035643.46,93829463.31,5726801750.14,0.14024
4,32.39,32.700,259229.84,3338448.28,97189299.33,6211260018.73,0.13824
4,31.96,33.967,277208.21,3209742.70,101213740.15,6427450562.83,0.13890
4,31.60,35.217,265654.71,3386585.92,105248673.20,6640606218.78,0.13750
4,31.31,36.483,344536.40,3562849.53,122888248.98,6848143549.10,0.13543
4,31.08,37.733,363732.41,3730881.90,112998393.70,7393939538.92,0.13751
4,30.88,39.000,330457.44,3891990.79,126289363.18,7043224086.52,0.13554
4,30.72,40.267,346245.31,4043167.36,119899900.05,7206546803.19,0.13566
4,30.59,41.533,342389.41,4183056.20,128071730.28,7354979213.51,0.13381
4,30.48,42.783,395406.82,4307051.04,130860340.39,8059855817.53,0.13471
4,29.96,44.050,431870.93,4448703.78,134019177.40,7824907311.33,0.13287
4,29.27,45.317,428809.17,5090996.09,149043008.90,7810656670.25,0.13226
4,28.32,46.583,448612.85,5357676.33,149129287.01,8259763713.39,0.13275
4,27.81,47.833,492844.75,4886042.00,149533301.32,8325822662.42,0.13050
4,27.38,49.100,490224.41,4873276.13,161920940.17,8816530871.64,0.13022
4,27.02,50.367,510597.36,5957630.38,168065544.24,8852754260.47,0.12869
4,26.71,51.633,556848.04,5620686.59,160463857.56,9091648919.90,0.12852
4,26.44,52.900,521940.01,5836206.25,186132574.70,9552455269.31,0.12648
4,26.07,54.167,539703.19,6362572.48,177367486.43,9771090035.09,0.12830
4,25.89,55.433,586145.08,6566665.91,189327775.59,9474829856.55,0.12699
4,25.74,56.683,602982.73,6745559.59,193590892.30,9896175120.84,0.12451
4,25.62,57.950,619052.36,6905289.71,182206125.04,10564098603.11,0.12462
4,25.52,59.233,666051.06,7047162.35,200751770.36,10183299201.78,0.12542
4,25.43,60.517,583822.90,7530643.51,211530503.03,10300727237.43,0.12501
4,25.36,61.783,628928.25,7645274.24,182456986.83,10402523374.45,0.12342
5,29.99,5.000,23013.90,193974.30,2879288.76,101115869.96,0.14226
5,30.15,6.250,22071.57,275441.86,4600358.70,128708190.13,0.14129
5,30.16,7.517,24538.09,329661.30,6230497.59,185012783.06,0.14198
5,29.85,8.767,20397.14,377366.91,7756876.88,235221375.47,0.14261
5,29.85,10.033,25532.27,467527.01,10202504.64,348985408.25,0.14230
5,30.01,11.283,22789.75,587337.31,13366869.13,442433382.03,0.14110
5,29.86,12.550,27581.05,629569.83,16975466.57,567937885.14,0.14026
5,30.01,13.800,29137.43,696593.58,20125351.22,707447145.37,0.14022
5,29.99,15.067,31110.78,761026.21,22336286.33,821517536.62,0.13889
5,30.16,16.317,31935.04,705048.06,25259232.13,1006718538.46,0.13839
5,30.01,17.583,34579.65,799146.91,26971269.23,1254932756.80,0.13871
5,30.00,18.833,35775.00,942773.06,30940906.25,1370338227.09,0.13819
5,30.15,20.100,40886.34,952510.37,36383045.75,1527466100.21,0.13810
5,29.85,21.350,42355.70,1006134.43,40623620.44,1551425261.19,0.13720
5,30.00,22.617,43769.26,1059770.05,40173747.63,1832245198.44,0.13589
5,29.86,23.883,49983.46,1111658.40,44274657.07,2052002037.74,0.13625
5,29.85,25.133,54016.86,1103809.44,46615776.33,1949742661.60,0.13582
5,29.99,26.400,58154.72,1330081.30,46872294.12,2237052258.08,0.13501
5,30.15,27.650,62170.64,1125490.95,48607334.20,2162910678.07,0.13427
5,29.84,28.917,59691.45,1227520.55,50294633.16,2352478807.89,0.13434
5,29.99,30.183,74034.91,1398765.70,51867649.46,2445260526.18,0.13524
5,29.99,31.433,70821.11,1368141.78,53238179.98,2324001779.84,0.13336
5,30.01,32.700,78573.76,1472396.12,56681725.75,2704572005.96,0.13432
5,30.01,33.967,82542.98,1578191.90,51217522.84,2669411689.38,0.13449
5,29.85,35.217,86531.24,1320832.92,59101767.03,2956468996.14,0.13346
5,29.86,36.483,81493.87,1424992.97,60261622.17,2915060818.37,0.13324
5,30.16,37.733,94232.50,1603352.05,63565552.63,2970770835.04,0.13266
5,29.99,39.000,92926.45,1706906.52,62060431.48,3136633904.17,0.13370
5,30.14,40.267,91142.95,1495699.21,57990763.83,2829238350.01,0.13276
5,30.00,41.533,104680.78,1676317.62,61107256.88,2987929683.28,0.13222
5,30.16,42.783,113305.97,1535586.68,61727850.52,3024023499.91,0.13290
5,29.86,44.050,105745.41,1556492.05,57409187.70,2940575884.31,0.13237
5,29.85,45.317,109088.24,1662078.31,63113405.70,3352650543.51,0.13223
5,29.86,46.583,124180.65,1600363.82,66332422.39,3142866177.86,0.13250
5,29.99,47.833,121444.92,1703909.52,59198122.69,3175396773.77,0.13160
5,30.16,49.100,130533.91,1633290.51,67379395.95,3072782336.37,0.13191
5,30.15,50.367,133318.71,1645555.13,70366811.81,2964100705.72,0.13184
5,30.00,51.633,129724.39,1746277.50,60305831.71,3374272612.65,0.13098
5,29.86,52.900,119401.61,1850798.28,71283094.40,3008754079.13,0.13208
5,29.85,54.167,135674.76,1690873.33,61154694.27,3165276906.52,0.13238
5,30.16,55.433,145208.17,1792782.45,69493687.11,3184304825.44,0.13192
5,30.15,56.683,133530.94,1802385.60,72443185.11,3331537892.49,0.13069
5,30.15,57.950,142800.42,1992866.12,67322009.07,3345428105.63,0.13143
5,29.86,59.233,159932.32,1641902.13,67651590.37,3364090645.44,0.13216
5,30.16,60.517,147828.22,1927269.20,67939813.59,3515599379.72,0.13092
5,30.15,61.783,149900.39,1751338.40,73596431.80,3120601000.38,0.13167
5,30.15,63.067,159559.09,1943945.81,68343671.21,3675416591.62,0.13085
5,29.84,64.367,154391.71,1676266.65,65878117.53,3692399682.69,0.13119
5,29.85,65.650,172720.38,1782044.00,66195718.75,3437473649.15,0.13152
5,30.00,66.933,159395.96,1698008.57,66451805.27,3590526713.74,0.13147
5,30.00,68.217,177727.63,1895679.29,69439916.40,3464700479.60,0.13182
6,29.99,5.000,22714.72,191656.82,2138712.16,194545517.45,0.14098
6,28.98,6.250,21967.02,242274.01,3411022.30,212947440.08,0.14160
6,28.26,7.517,20164.47,315553.65,5108332.29,258732814.86,0.14074
6,27.38,8.767,24155.37,399342.87,8248670.31,369148290.83,0.14046
6,26.75,10.033,22722.24,547036.24,12298304.91,483045993.59,0.14002
6,26.08,11.283,25320.35,598160.02,18094838.75,683177151.54,0.13935
6,25.78,12.550,27503.78,746256.59,23516206.73,987873259.85,0.13774
6,25.56,13.800,32173.60,777339.10,28882792.20,1290542023.64,0.13664
6,25.09,15.067,34994.82,986970.91,37131970.08,1728463563.44,0.13536
6,24.67,16.317,38535.52,1170619.40,42600286.81,2166776289.86,0.13530
6,24.44,17.583,47461.24,1309791.45,51648187.20,2551794720.20,0.13247
6,24.55,18.833,60775.45,1373663.27,62915705.18,2882977706.98,0.13239
6,24.38,20.100,70208.01,1494673.20,66811397.85,3360421449.33,0.13109
6,23.94,21.350,72903.98,1695246.17,67060233.61,3840216078.25,0.13051
6,23.98,22.617,78369.65,1732437.67,78113363.51,4319115208.84,0.12871
6,23.88,23.883,87528.43,1840441.60,76480952.38,4506761589.19,0.12770
6,23.94,25.133,111694.14,2131306.10,80249562.21,4634200145.33,0.12620
6,23.57,26.400,105491.85,2031700.43,80247531.00,4580352987.54,0.12604
6,23.66,27.650,108263.00,2225353.50,97729432.60,5238759360.49,0.12532
6,23.46,28.917,135903.09,2201681.85,100907354.52,5435899913.50,0.12468
6,23.57,30.183,124417.56,2162582.11,103717476.16,5772762804.59,0.12474
6,23.30,31.433,146753.16,2229210.28,94445703.26,5261049360.77,0.12300
6,22.39,32.700,163892.82,2433563.39,109322366.16,5605222120.75,0.12362
6,22.11,33.967,157699.27,2280299.93,104419718.53,5980921080.02,0.12172
6,21.75,35.217,175906.26,2635098.36,107591891.09,6365355105.96,0.12166
6,21.16,36.483,186270.54,2472298.92,106595624.37,6586413603.88,0.12033
6,20.93,37.733,196630.07,3003376.22,123634933.90,6408625041.30,0.11843
6,20.73,39.000,217321.58,2821717.76,122473212.04,6603318421.46,0.11955
6,20.57,40.267,217079.24,3074187.54,111163321.56,7203188244.73,0.11774
6,20.74,41.533,249215.27,3005517.67,113560499.91,6935707505.01,0.11781
6,20.63,42.783,247186.78,3079515.63,125669517.15,7283821046.10,0.11619
6,19.96,44.050,244895.55,3665993.93,128249586.25,6990888331.63,0.11568
6,19.27,45.317,267966.31,3445806.21,131421465.80,7624187660.03,0.11623
6,18.32,46.583,253138.80,3588213.33,140808694.63,7620634896.34,0.11661
6,17.66,47.833,278312.63,3378858.46,151223198.92,8367778859.72,0.11571
6,17.23,49.100,290505.31,3929307.63,144906628.52,8655700586.97,0.11307
6,17.17,50.367,272111.90,3886724.95,143456247.99,8400250795.44,0.11166
6,16.56,51.633,314079.98,4036374.87,153841305.11,8907150464.42,0.11196
6,16.44,52.900,325524.97,4617634.88,164321756.34,8864512164.79,0.11174
6,16.22,54.167,336575.74,4988768.96,168304266.87,9069858292.55,0.11103
6,16.04,55.433,382066.21,5131909.22,178676857.85,10121808716.33,0.10927
6,15.59,56.683,357868.93,5271576.33,162196379.33,9740721035.93,0.10972
6,15.77,57.950,367987.69,5151912.17,178986808.21,9317089835.17,0.10860
6,15.52,59.233,339968.87,5511072.17,181936213.87,9763175165.19,0.10701
6,15.28,60.517,387412.95,4857103.50,163518819.28,10522294898.13,0.10759
6,15.21,61.783,416457.56,4686433.95,173086397.66,10353148389.03,0.10659
